1.0 and up
1.5 and up
1.6 and up
2.0 and up
2.0.1 and up
2.1 and up
2.2 - 7.1.1
2.2 and up
2.3 and up
2.3.3 and up
3.0 and up
3.1 and up
3.2 and up
4.0 and up
4.0.3 - 7.1.1
4.0.3 and up
4.1 - 7.1.1
4.1 and up
4.2 and up
4.3 and up
4.4 and up
4.4W and up
5.0 - 6.0
5.0 - 7.1.1
5.0 - 8.0
5.0 and up
5.1 and up
6.0 and up
7.0 - 7.1.1
7.0 and up
7.1 and up
8.0 and up
Varies with device
