genre
Action & Adventure
Adventure
Arcade
Art & Design
Auto & Vehicles
Beauty
Board
Books & Reference
Brain Games
Business
Card
Casino
Casual
Comics
Communication
Creativity
Dating
Education
Educational
Entertainment
Events
Finance
Food & Drink
Health & Fitness
House & Home
Libraries & Demo
Lifestyle
Maps & Navigation
Medical
Music
Music & Audio
Music & Video
News & Magazines
Parenting
Personalization
Photography
Pretend Play
Productivity
Puzzle
Racing
Role Playing
Shopping
Simulation
Social
Sports
Strategy
Tools
Travel & Local
Trivia
Video Players & Editors
Weather
Word
